Name,Age,Ht.,Nickname,Endeavor record,MMA record,Weight Class,Weight Class Index,Overall Wins,Overall Losses,UFC Wins,UFC Losses,k_wins,sb_wins,d_wins,hd_strk,lg_stk,bd_strk,st_land,st_attemp,tk_land,tk_attemp,strksL_perm,strksAb_perm,takedAv_per,subAvg_perm,strk_d,take_d,kd_rat,av_time,stand_stk,clinch_stk,grnd_stk,Rank,Reign(total),Defenses,ex_champ
Glover Teixeira,39,74.01559999999998,,12 5,29 7,Light heavyweight,1,29, 7,12, 5,17.0,7.0,4.0,473.0,3.0,65.0,541.0,1246.0,20.0,50.0,3.46,3.65,2.21,0.86,56.0,61.0,0.48,08:14,276.0,51.0,214.0,11.0,,,False
Jimi Manuwa,39,74.01559999999998,Poster Boy,6 5,17 5,Light heavyweight,1,17, 5,6,5,15.0,1.0,1.0,118.0,89.0,80.0,287.0,530.0,3.0,16.0,3.44,3.99,0.54,0.36,49.0,71.0,0.54,07:36,178.0,104.0,5.0,10.0,,,False
Ilir Latifi,35,70.0786,The Sledgehammer,7 4,14 6 (1 NC),Light heavyweight,1,14, 6 ,7,4,6.0,5.0,4.0,127.0,32.0,27.0,186.0,442.0,10.0,31.0,2.34,2.66,1.89,0.57,56.0,10.0,0.76,07:13,120.0,25.0,41.0,9.0,,,False
Thiago Santos,35,72.0471,Marreta,13 5,21 6,Light heavyweight,1,21, 6,13, 5,15.0,1.0,5.0,347.0,123.0,129.0,599.0,1180.0,5.0,20.0,5.01,2.16,1.0,0.13,61.0,67.0,1.51,06:38,282.0,124.0,193.0,3.0,,,False
Nikita Krylov,27,72.0471,The Miner,7 4,25 6,Light heavyweight,1,25, 6,7,4,11.0,14.0,0.0,174.0,37.0,60.0,271.0,460.0,1.0,7.0,5.59,2.62,0.62,1.86,45.0,40.0,0.93,04:51,111.0,113.0,47.0,,,,False
Patrick Cummins,38,74.01559999999998,Durkin,6 6,10 6,Light heavyweight,1,10, 6,6,6,4.0,2.0,4.0,388.0,37.0,51.0,476.0,948.0,34.0,83.0,4.21,3.36,4.51,0.13,55.0,29.0,0.00,09:26,206.0,81.0,189.0,,,,False
Corey Anderson,29,75.19669999999998,Overtime,9 4,12 4,Light heavyweight,1,12, 4,9,4,4.0,0.0,8.0,536.0,51.0,101.0,688.0,1492.0,52.0,104.0,4.37,2.2,4.96,0.0,59.0,83.0,0.00,12:07,407.0,106.0,175.0,8.0,,,False
Sam Alvey,33,74.01559999999998,Smile'N,10 7,33 12 (1 NC),Light heavyweight,1,33, 12,10, 7,19.0,3.0,11.0,321.0,78.0,88.0,487.0,1070.0,1.0,4.0,3.2,3.25,0.1,0.1,55.0,84.0,0.69,09:30,337.0,124.0,26.0,,,,False
Jake Collier,30,75.19669999999998,The Prototype,3 3,11 4,Light heavyweight,1,11, 4,3,3,5.0,3.0,3.0,148.0,46.0,67.0,261.0,660.0,3.0,13.0,4.15,3.69,0.72,0.48,52.0,68.0,0.48,10:29,209.0,42.0,10.0,,,,False
Misha Cirkunov,32,75.19669999999998,,5 3,14 5,Light heavyweight,1,14, 5,5,3,5.0,7.0,2.0,109.0,7.0,34.0,150.0,286.0,9.0,17.0,4.45,2.58,4.45,2.23,65.0,71.0,0.00,04:13,90.0,40.0,20.0,15.0,,,False
Anthony Smith,30,77.1652,Lionheart,9 6,31 14,Light heavyweight,1,31, 14,9,6,18.0,11.0,2.0,256.0,41.0,68.0,365.0,733.0,3.0,14.0,3.19,4.86,0.52,0.52,43.0,50.0,0.65,10:25,285.0,58.0,22.0,4.0,,,False
Ion Cutelaba,25,72.8345,The Hulk,3 3,14 4 (1 NC),Light heavyweight,1,14, 4 ,3,3,11.0,2.0,1.0,143.0,19.0,51.0,213.0,604.0,6.0,9.0,4.62,3.16,1.95,0.0,49.0,69.0,0.33,09:14,119.0,72.0,22.0,,,,False
