names,reach,reach2
Tatiana Suarez,"Jul. 09, 2016",66.00
Amanda Cooper,64.00,36.00
Alexa Grasso,66.00,37.00
Ashley Yoder,69.50,37.00
Cynthia Calvillo,64.00,37.00
Syuri Kondo,,
Jodie Esquibel,"Oct. 21, 2017",64.00
Emily Whitmire,63.50,38.00
Polyana Viana,67.00,38.50
Maia Stevenson,62.50,35.00
Mackenzie Dern,,
Weili Zhang,63.00,36.00
Marina Rodriguez,67.00,
Hannah Cifers,,
Sarah Frota,,
Virna Jandiroba,,
