Name,Age,Ht.,Nickname,Endeavor record,MMA record,Weight Class,Weight Class Index,Overall Wins,Overall Losses,UFC Wins,UFC Losses
B.J. Penn,40,68.8975,The Prodigy,12 12 2,16 13 2,Lightweight,4,16, 13,12, 12
Nate Diaz,34,72.0471,,17 10,19 11,Lightweight,4,19, 11,17, 10
Clay Guida,37,66.92899999999999,The Carpenter,15 12,34 18,Lightweight,4,34, 18,15, 12
Joe Lauzon,34,70.0786,J-Lau,14 12,27 15,Lightweight,4,27, 15,14, 12
Donald Cerrone,36,72.0471,Cowboy,29 11 (1 NC),36 11 (1 NC),Lightweight,4,36, 11,29, 11
Dong Hyun Ma,30,70.866,The Maestro,3 3,16 9 3,Lightweight,4,16, 9 ,3 ,3
Jim Miller,35,68.11009999999999,,19 12 (1 NC),30 13 (1 NC),Lightweight,4,30, 13,19, 12
Nik Lentz,34,68.11009999999999,The Carny,14 6 1 (1 NC),30 9 2 (1 NC),Lightweight,4,30, 9 ,14, 6 
Gray Maynard,40,68.11009999999999,The Bully,11 7 1 (1 NC),13 7 1 (1 NC),Lightweight,4,13, 7 ,11, 7 
Erik Koch,30,70.0786,New Breed,7 6,15 6,Lightweight,4,15, 6,7 ,6
Charles Oliveira,29,70.0786,Do Bronx,14 8 (1 NC),26 8 (1 NC),Lightweight,4,26, 8 ,14, 8 
Dustin Poirier,30,68.8975,The Diamond,18 5 (1 NC),25 5 (1 NC),Lightweight,4,25, 5 ,18, 5 
Edson Barboza,33,70.866,Junior,14 7,20 7,Lightweight,4,20, 7,14, 7
John Makdessi,34,68.11009999999999,The Bull,10 6,17 6,Lightweight,4,17, 6,10, 6
Tony Ferguson,35,70.866,El Cucuy,14 1,24 3,Lightweight,4,24, 3,14, 1
Khabib Nurmagomedov,30,70.0786,The Eagle,11 0,27 0,Lightweight,4,27, 0,11, 0
Al Iaquinta,32,66.92899999999999,Raging,9 4,14 5 1,Lightweight,4,14, 5 ,9 ,4
Francisco Trinaldo,40,68.8975,Massaranduba,13 5,23 6,Lightweight,4,23, 6,13, 5
Jon Tuck,34,70.866,The Super Saiyan,4 5,10 5,Lightweight,4,10, 5,4 ,5
Drew Dober,30,68.11009999999999,,6 5 (1 NC),20 9 (1 NC),Lightweight,4,20, 9 ,6 ,5  
Abel Trujillo,35,68.11009999999999,Killa,6 4 (1 NC),15 8 (1 NC),Lightweight,4,15, 8 ,6 ,4  
Rustam Khabilov,32,68.8975,Tiger,9 3,23 4,Lightweight,4,23, 4,9 ,3
Vinc Pichel,36,70.0786,From Hell,4 2,11 2,Lightweight,4,11, 2,4 ,2
Yancy Medeiros,31,70.866,The Kid,6 6 (1 NC),15 6 (1 NC),Lightweight,4,15, 6 ,6 ,6  
Leonardo Santos,39,72.8345,,5 0 1,16 3 1,Lightweight,4,16, 3 ,5 ,0 1
